Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
Sea-Dweller 4000,16600,Automatic,Steel,Steel,1999,Used,Male,15140,0,Hanseatic-Watches,Unknown,Unknown,,16600,Very good,Yes,Yes,Germany,Hamburg
GMT-Master II,116710LN,Automatic,Steel,Steel,Unknown,nan,Male,19015,151,Oliver and Clarke,Unknown,Unknown,,116710LN,Unknown,No,No,Unknown,Unknown
Sea-Dweller,126600,Automatic,Steel,Steel,Unknown,nan,Male,20992,151,Watch My Diamonds,Unknown,,,126600,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710GRNR,Automatic,Steel,Steel,Unknown,Like new & unworn,Unknown,29612,408,"Ueda Co., Ltd.",Unknown,,,126710GRNR,Unknown,Yes,Yes,Unknown,Unknown
Oyster,6423,Manual winding,Steel,Steel,Unknown,nan,Male,4526,243,Tarrytown Jewelers,Unknown,Silver,Arabic,6423,Unknown,No,No,Unknown,Unknown
Oysterdate Precision,6694,Manual winding,Steel,Steel,Unknown,nan,Male,3758,71,Antique Watchlife Inc.,Unknown,,,6694,Unknown,No,No,Unknown,Unknown
Submariner Date,116610LV,Automatic,Steel,Steel,Unknown,nan,Male,31184,228,ElegantSwiss,3135,Green,None,116610LV,Unknown,No,No,Unknown,Unknown
Submariner,14060M,Automatic,Steel,Steel,2002,Used,Male,17136,499,Lo Time,3130,Black,None,14060M,Very good,No,No,Italy,Arzignano
GMT-Master II,No Reference,Automatic,Steel,Steel,Unknown,nan,Unknown,28266,102,GMT,Unknown,Black,,No Reference,Unknown,No,No,Japan,Tokyo
Datejust 41,126300,Automatic,Steel,Steel,Unknown,nan,Male,15474,115,RUZ JOYEROS,3135,Black,None,126300,Unknown,No,No,Unknown,Unknown
Air King,116900,Automatic,Steel,Steel,2020,Like new & unworn,Male,12320,0,The Timeless Collector,Unknown,Black,Arabic,116900,Unknown,Yes,Yes,Unknown,"New York, New York"
Yacht-Master 42,226627,Automatic,Titanium,Titanium,2024,New,Male,72865,228,WristWready,Unknown,Black,None,226627,Unknown,Yes,Yes,Unknown,"Georgia, Atlanta"
GMT-Master II,126720VTNR,Automatic,Steel,Steel,Unknown,nan,Male,31010,517,Kettle Club Watches,3186,Black,None,126720VTNR,Unknown,No,No,Unknown,Unknown
Datejust 31,278274,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,19950,416,Juwelier Rieger,Unknown,Unknown,,278274,Unknown,No,No,Unknown,Unknown
Submariner Date,116610LV,Automatic,Steel,Steel,2018,Used,Male,32302,165,bonds of brentwood ltd,3135,Green,None,116610LV,Very good,Yes,Yes,United Kingdom,Brentwood
Oyster Perpetual 31,277200,Automatic,Steel,Steel,Unknown,nan,Unknown,15501,102,GMT,Unknown,Blue,,277200,Unknown,No,No,Japan,Tokyo
Datejust 41,126300,Automatic,Steel,Steel,2024,Like new & unworn,Male,16277,228,Watch Affinity,3135,Blue,Roman,126300,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2022,Like new & unworn,Male,37261,0,Chrono Group Investments ltd,4130,White,None,116503,Unknown,Yes,Yes,United Kingdom,Canary Wharf
Submariner Date,126610LN,Automatic,Steel,Steel,Unknown,nan,Male,24719,152,Fancy Jewellery & Watches,3135,Black,None,126610LN,Unknown,No,No,Unknown,Unknown
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2024,New,Male,69973,0,Luxury Time Global,3255,Pink,Roman,228235,Unknown,Yes,Yes,Unknown,"Pennsylvania, Moosic"
GMT-Master II,126720VTNR,Automatic,Steel,Steel,2023,Like new & unworn,Male,26050,228,Watch Affinity,Unknown,Black,None,126720VTNR,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Submariner,6536,Automatic,Steel,Steel,1958,Used,Male,38015,380,Keys Pawn LLC,Unknown,Black,None,6536,Very good,Yes,Yes,Unknown,"Florida, Islamorada"
Explorer II,226570,Automatic,Steel,Steel,2024,New,Male,19774,0,Luxury Time Global,Unknown,White,None,226570,Unknown,Yes,Yes,Unknown,"Pennsylvania, Moosic"
GMT-Master,16700,Automatic,Steel,Steel,1997,Used,Male,19634,0,Referenza Del Tempo S.R.L.,3185,Black,None,16700,Very good,No,No,Italy,Capannori
GMT-Master II,126720VTNR,Automatic,Steel,Steel,2024,New,Male,27395,913,Buckle Up Watches,Unknown,Black,None,126720VTNR,Unknown,Yes,Yes,Unknown,Dubai
Submariner Date,16610LV,Automatic,Steel,Steel,2008,Used,Male,30782,499,Mercanti D'Oro srl,3135,Black,None,16610LV,Very good,Yes,Yes,Italy,Milano
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2024,New,Male,28384,196,Vintage Grail,Unknown,Black,None,126710BLNR,Unknown,Yes,Yes,Hong Kong,Kowloon
GMT-Master II,16713,Automatic,Gold/Steel,Gold/Steel,1990,Used,Male,15308,100,Stories of Time,3135,Black,None,16713,Good,No,Yes,Sweden,Stockholm
Explorer I,124273,Automatic,Steel,Steel,Unknown,nan,Male,13757,0,BRAND SHOP LIPS,Unknown,,,124273,Unknown,No,No,Unknown,Unknown
Daytona,116515ln,Automatic,Rose gold,Rubber,2022,Used,Male,162517,194,ROYAL WATCH,4130,Silver,None,No Reference,Very good,Yes,Yes,Poland,Kraków
Datejust 36,116200,Automatic,Steel,Steel,Unknown,nan,Male,12063,133,Fine Watches & Diamonds SL,3135,Blue,Roman,116200,Unknown,No,No,Unknown,Unknown
Datejust 36,116200,Automatic,Steel,Steel,2010,Used,Male,11980,0,FG WATCHES,3135,Silver,Roman,116200,Very good,No,No,Unknown,Unknown
Oyster Perpetual Lady Date,69240,Automatic,Steel,Steel,Unknown,nan,Female,9135,0,Il Maggiore S.R.L.,2135,Blue,None,69240,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 39,114300,Automatic,Steel,Steel,2019,Used,Male,13537,194,ROYAL WATCH,Unknown,Black,None,114300,Very good,Yes,Yes,Poland,Kraków
Datejust 36,16013,Automatic,Gold/Steel,Gold/Steel,1987,Used,Male,11564,0,Timeless Finders VOF,3035,Silver,None,16013,Very good,No,No,Unknown,Unknown
Yacht-Master 37,268621,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,23952,105,Säntinox AG,Unknown,Black,None,268621,Unknown,No,No,Unknown,Unknown
6916,6071,Automatic,Steel,Steel,1977,Used,Female,4326,115,CORELLO,Unknown,Unknown,,6916,Very good,No,Yes,Spain,Barcelona
Yacht-Master 42,226659,Automatic,White gold,White gold,Unknown,nan,Male,48222,0,WPB Watch Co,3035,Black,None,226659,Unknown,No,No,Unknown,Unknown
Submariner Date,16610LV,Automatic,Steel,Steel,Unknown,nan,Male,26289,198,OroGenesi,3135,Black,None,16610LV,Unknown,No,No,Unknown,Unknown
Oysterdate Precision,6694,Manual winding,Steel,Steel,1970,Used,Male,7304,416,La Boutique del Gioiello,1225,Red,None,6694,Very good,No,Yes,Italy,Unknown
Day-Date 40,228238,Automatic,Yellow gold,Yellow gold,2024,New,Male,72371,165,Amstel Watches,3135,Silver,,228238,Unknown,Yes,Yes,Unknown,Amsterdam
Sea-Dweller 4000,116600,Automatic,Steel,Steel,1998,Used,Male,21835,301,iWatches,3135,Black,None,4000,Very good,Yes,Yes,Brazil,Rio De Janeiro
Submariner,114060,Automatic,Steel,Steel,Unknown,nan,Male,23128,250,ARTE ORAFA SAS,3130,Black,None,114060,Unknown,No,No,Unknown,Unknown
Daytona,126503,Automatic,Gold/Steel,Gold/Steel,2024,Like new & unworn,Male,39150,318,GMG Watches Ltd,4131,White,None,126503,Unknown,Yes,Yes,United Kingdom,London
Oyster Perpetual Lady Date,69160,Automatic,Steel,Steel,1987,Used,Female,6489,165,Watch next SAS,2135,Silver,Roman,69160,Very good,No,No,Unknown,Unknown
Explorer II,216570,Automatic,Steel,Steel,Unknown,nan,Male,15724,250,Ettema,3187,Unknown,,216570,Unknown,No,No,Unknown,Unknown
Submariner,124060,Automatic,Steel,Steel,2020,Used,Male,19717,83,Take your luxury,3135,Black,None,124060,Very good,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,2024,New,Male,22666,0,Luxury Time Global,3135,Grey,None,126334,Unknown,Yes,Yes,Unknown,"Pennsylvania, Philadelphia"
Submariner Date,116610LN,Automatic,Steel,Steel,2020,Used,Male,Unknown,151,AE Vanderbilt Inc,3135,Black,None,116610LN,Very good,Yes,Yes,Unknown,"New York, Forest Hills"
Oyster Perpetual Date,15200,Automatic,Steel,Steel,2000,Used,Male,6460,169,Executive Watch Collection Limited,3135,White,None,15200,Very good,No,Yes,United Kingdom,Birmingham
Submariner Date,126613LN,Automatic,Gold/Steel,Gold/Steel,2023,New,Male,29118,165,Trading Watchs,Unknown,Black,None,126613LN,Unknown,Yes,Yes,Spain,Madrid
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,1990,Used,Male,8975,151,DH Luxury Time LLC,3135,Champagne,None,16233,Good,No,Yes,Unknown,"Virginia, Roanoke"
Day-Date 36,18038,Automatic,Yellow gold,Yellow gold,1987,Used,Male,20011,303,A.D.A. Merchant LLC,3055,Champagne,None,No Reference,Good,No,Yes,Unknown,"New York, West Hempstead"
Datejust 36,16014,Automatic,Steel,Steel,1987,Used,Male,11726,197,OG Ltd.,3035,Silver,None,16014,Good,Yes,Yes,United Kingdom,London Colney Hertfordshire
Yacht-Master 40,116621,Automatic,Steel,Steel,Unknown,nan,Male,23960,166,mostwantedwatches,3135,Black,None,No Reference,Unknown,No,No,Unknown,Unknown
Datejust II,116334,Automatic,Steel,Steel,2024,nan,Unknown,17304,198,OroGenesi,3135,Black,None,116334,Unknown,No,No,Unknown,Unknown
Submariner Date,16613,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,18559,151,Big Ben Time Zone,3135,Blue,None,16613,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2024,New,Male,16353,0,Luxury Time Global,3135,Blue,None,126300,Unknown,Yes,Yes,Unknown,"Pennsylvania, Moosic"
Submariner Date,126610lv,Automatic,Steel,Steel,2023,Like new & unworn,Male,24847,165,A-Z Sourcing London,3135,Black,None,126610lv,Unknown,Yes,Yes,United Kingdom,London
Lady-Datejust,69173,Automatic,Steel,Gold/Steel,1990,Used,Female,8349,199,TB Timepieces Ltd,2135,Champagne,None,69173,Very good,Yes,Yes,United Kingdom,London
Daytona,116589,Automatic,White gold,White gold,2005,Used,Male,256238,832,Costantini,Unknown,,,116589,Very good,Yes,Yes,Italy,Roma
Datejust 41,126300,Automatic,Steel,Steel,2024,Like new & unworn,Male,17494,228,Sam Estate Buyer,3135,Grey,Roman,126300,Unknown,Yes,Yes,Unknown,"Florida, Ft Lauderdale"
Submariner Date,126619LB,Automatic,White gold,White gold,2023,Like new & unworn,Male,55980,151,Watches OFF 5TH,Unknown,Black,None,126619LB,Unknown,Yes,Yes,Unknown,"New York, New York"
Lady-Datejust,69173,Automatic,Gold/Steel,Gold/Steel,1991,Used,Female,7726,196,TMTIME,2135,Champagne,None,69173,Very good,Yes,Yes,Unknown,"New York, New York"
Datejust 41,126300,Automatic,Steel,Steel,Unknown,nan,Male,13531,0,QD Watches,Unknown,,,126300,Unknown,No,No,Unknown,Unknown
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2021,Used,Male,68219,250,NosMontres,3255,Pink,Roman,228235,Very good,Yes,Yes,France,Paris
Datejust 41,126334,Automatic,Steel,Steel,2020,Used,Male,20673,165,UK WATCH TRADE LTD,3135,Grey,None,126334,Good,Yes,Yes,United Kingdom,Portsmouth
Yacht-Master 40,126655,Automatic,Rose gold,Rose gold,Unknown,nan,Male,45793,105,Taleda,Unknown,Unknown,,126655,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Male,22438,243,Tarrytown Jewelers,Unknown,Grey,Roman,126334,Unknown,No,No,Unknown,Unknown
Sea-Dweller,126600,Automatic,Steel,Steel,Unknown,nan,Male,20688,151,Diamond & Jewelry Gallery,3135,Black,None,126600,Unknown,No,No,Unknown,Unknown
Submariner Date,126610lv,Automatic,Steel,Steel,2024,Like new & unworn,Male,23099,0,Celestique Watches,3135,Black,None,126610lv,Unknown,Yes,Yes,Unknown,"New York, New York"
Submariner Date,126610LV,Automatic,Steel,Steel,Unknown,nan,Male,24456,105,Taleda,Unknown,Unknown,,126610lv,Unknown,No,No,Unknown,Unknown
Daytona,116509,Automatic,White gold,White gold,2007,Like new & unworn,Male,56406,250,ARTE ORAFA SAS,4130,Silver,Arabic,116509,Unknown,Yes,Yes,Italy,Zevio
Daytona,116518LN,Automatic,Yellow gold,Rubber,2021,Used,Male,53592,196,Ming Watch Channel (HK) Limited,4130,White,None,116518LN,Very good,Yes,Yes,Hong Kong,Kowloon
Yacht-Master 40,126622,Automatic,Steel,Steel,2022,Used,Male,22860,165,Chronofinder Ltd,3235,Blue,None,126622,Very good,Yes,Yes,United Kingdom,London
Datejust 36,16030,Automatic,Steel,Steel,Unknown,nan,Male,8536,105,Taleda,Unknown,Unknown,,16030,Unknown,No,No,Unknown,Unknown
Daytona,126509,Automatic,White gold,White gold,2023,Like new & unworn,Male,69138,304,First Class Timepieces,Unknown,Black,None,2023,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 36,6605,Automatic,Steel,Gold/Steel,1959,Used,Male,8569,231,watch24online,Unknown,Silver,None,6605,Very good,Yes,Yes,Unknown,Goor
Datejust 41,126300,Automatic,Steel,Steel,Unknown,nan,Male,16049,455,Belor Time Legacy,3135,Grey,None,126300,Unknown,No,No,Unknown,Unknown
GMT-Master,16700,Automatic,Steel,Steel,Unknown,nan,Male,19623,228,ElegantSwiss,3185,Black,None,16700,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,2024,Like new & unworn,Male,17888,0,Elite watches London ltd,3135,Green,None,126300,Unknown,Yes,Yes,United Kingdom,London
Daytona,116505,Automatic,Rose gold,Rose gold,2016,Used,Male,78535,333,Gioielleria Brandizzi,4030,Unknown,,116505,Very good,Yes,Yes,Italy,Roma
Daytona,6265,Manual winding,Steel,Steel,1979,Like new & unworn,Male,141430,250,Roy Watches,Unknown,Black,None,6265,Unknown,Yes,Yes,Germany,Halle
Datejust 36,1601,Automatic,Steel,Steel,1972,Used,Male,7506,0,"between the arts,inc.",1570,Unknown,,1601,Fair,No,Yes,Japan,"Minato-Ku,Tokyo"
Daytona,116520,Automatic,Steel,Steel,Unknown,Used,Male,29656,380,Majestix Collection,4130,White,None,116520,Very good,No,Yes,Unknown,"California, Temple City"
Datejust 36,16018,Automatic,Yellow gold,Yellow gold,1976,Used,Male,13145,83,Vintage Watches Valencia,Unknown,Champagne,None,16018,Very good,Yes,Yes,Spain,Valencia
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,Unknown,nan,Male,22354,190,Watch Vault LLC,3235,Blue,None,126660,Unknown,No,No,Unknown,Unknown
Daytona,116509,Automatic,White gold,White gold,2005,Used,Male,59325,0,Pauls Watch Repair,4130,Unknown,,116509,Very good,Yes,Yes,Unknown,"California, Sacramento"
Datejust 36,16234,Automatic,Unknown,Unknown,Unknown,nan,Unknown,9419,0,Huntington Watch,Unknown,,,16234,Unknown,No,No,Unknown,Unknown
Daytona,116519LN,Automatic,White gold,Rubber,2021,Used,Male,63112,239,Uk Specialist Watches ltd,Unknown,Grey,None,116519LN,Very good,Yes,Yes,United Kingdom,Manchester
Explorer II,16570,Automatic,Steel,Steel,2011,Used,Male,13644,281,Aquilux Milano,3185,Black,None,16570,Very good,Yes,Yes,Italy,Milano
Oyster Perpetual 31,177200,Automatic,Steel,Steel,Unknown,Used,Unknown,8149,102,GMT,Unknown,,,177200,Very good,Yes,Yes,Unknown,Unknown
Yacht-Master 40,16622,Automatic,Steel,Steel,Unknown,nan,Male,14223,151,Watch My Diamonds,Unknown,,,16622,Unknown,No,No,Unknown,Unknown
Daytona,126508,Automatic,Yellow gold,Yellow gold,2024,New,Male,83361,913,Buckle Up Watches,4131,Gold,None,126508,Unknown,Yes,Yes,Unknown,Dubai
Datejust 41,126331,Automatic,Steel,Steel,Unknown,nan,Male,25480,243,Tarrytown Jewelers,Unknown,Grey,Roman,No Reference,Unknown,No,No,Unknown,Unknown
Sea-Dweller 4000,116600,Automatic,Steel,Steel,2014,Used,Male,21547,299,A.Watch,3135,Black,None,4000,Good,No,No,Germany,München
Lady-Datejust,178273,Automatic,Gold/Steel,Gold/Steel,2020,Used,Female,18253,196,Timeless Luxury,Unknown,Champagne,,178273,Very good,Yes,Yes,Unknown,"Georgia, Atlanta"
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,29807,80,PA Jewellery,Unknown,Black,None,126711CHNR,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 31,277200,Automatic,Steel,Steel,Unknown,New,Female,11637,0,Luxury Time NYC,Unknown,Green,None,277200,Unknown,Yes,Yes,Unknown,"New York, New York"
Submariner Date,126610LN,Automatic,Steel,Steel,2023,New,Male,22795,499,SK GmbH & Co. KG,3135,Black,None,126610LN,Unknown,Yes,Yes,Germany,Hamm
Lady-Datejust,79173,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Female,8070,0,Oreficeria Lupetta Srl,Unknown,,,79173,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,Unknown,nan,Male,15807,166,Chrono Milano srl,3035,Blue,None,126300,Unknown,No,No,Unknown,Unknown
GMT-Master II,126719BLRO-0003,Automatic,White gold,White gold,2022,New,Male,68454,151,Watches OFF 5TH,Unknown,Blue,None,126719BLRO,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 31,68278,Automatic,Yellow gold,Yellow gold,1993,Used,Unknown,19135,299,Piretti Antichità,Unknown,Blue,None,68278,Good,Yes,Yes,Unknown,Unknown
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2021,Used,Male,35596,761,Giganti & Giganti Fine Jewelry,Unknown,Black,None,116503,Very good,Yes,Yes,Unknown,"Illinois, Springfield"
Datejust 36,16013,Automatic,Gold/Steel,Gold/Steel,1980,Used,Male,8652,250,Milano-Orologi,3035,Gold,None,16013,Very good,Yes,Yes,Italy,Milano
Explorer I,214270,Automatic,Steel,Steel,Unknown,nan,Male,11784,0,"Kusumoto shoten co.,Ltd.",Unknown,,,214270,Unknown,No,No,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,Unknown,Used,Male,30728,455,The Watch Connect,4130,White,None,116520,Very good,Yes,Yes,Unknown,"California, Garden Grove"
Submariner,124060,Automatic,Steel,Steel,2023,New,Male,20971,0,Chrono Group Investments ltd,3130,Black,None,124060,Unknown,Yes,Yes,United Kingdom,Canary Wharf
GMT-Master II,16710,Automatic,Steel,Steel,2003,Used,Male,21131,108,BBA WATCH,3185,Black,None,16710,Very good,Yes,Yes,France,Le Mans
Daytona,126503,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,36433,0,Affordable Swiss Watches Inc.,4131,Gold,None,126503,Unknown,No,No,Unknown,Unknown
Explorer I,124273,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,17339,102,GMT,Unknown,Black,,124273,Unknown,No,No,Japan,Tokyo
Daytona,16528,Automatic,Yellow gold,Yellow gold,1989,Used,Male,108152,299,Piretti Antichità,Unknown,Gold,None,16528,Very good,Yes,Yes,Italy,Bologna
Daytona,116518LNG,Automatic,Yellow gold,Yellow gold,Unknown,nan,Unknown,63108,306,GMT,Unknown,Black,,116518LN,Unknown,No,No,Japan,Tokyo
Datejust 41,126334,Automatic,Steel,Steel,2023,Like new & unworn,Male,23881,0,The Timeless Collector,3135,Mother of pearl,None,126334,Unknown,Yes,Yes,Unknown,"Florida, Miami"
GMT-Master II,No Reference,Automatic,Unknown,Unknown,Unknown,nan,Unknown,64619,306,GMT,Unknown,,,No Reference,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 26,6718,Automatic,Gold/Steel,Steel,1976,Used,Female,4825,148,Time Precious di Giannattasio Mauro,Unknown,Unknown,,6718,Very good,Yes,Yes,Italy,Terni
Daytona,16523,Automatic,Gold/Steel,Gold/Steel,1994,Used,Male,34775,0,Lo Smeraldo di Andrea Mattioli,4130,White,None,16523,Very good,Yes,Yes,Italy,Rassina
Daytona,116519,Automatic,White gold,White gold,Unknown,nan,Male,76587,357,Zetton,4130,Blue,,116519,Unknown,No,No,Unknown,Unknown
Explorer I,214270,Automatic,Steel,Steel,Unknown,nan,Male,10608,0,BRAND SHOP LIPS,Unknown,,,214270,Unknown,No,No,Unknown,Unknown
Daytona,6262,Manual winding,Steel,Steel,Unknown,nan,Male,482526,250,Maurizio De Angelis,Unknown,Unknown,,6262,Unknown,No,No,Unknown,Unknown
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,26040,316,The Watch Room,3135,Gold,None,126333,Unknown,No,No,Unknown,Unknown
Submariner Date,16610LV,Automatic,Steel,Steel,Unknown,nan,Male,26338,165,BQ Watches,3135,Black,None,16610LV,Unknown,No,No,Unknown,Unknown
Submariner Date,126613LN,Automatic,Gold/Steel,Gold/Steel,2023,Like new & unworn,Male,26963,380,Watch Time Fly USA,Unknown,Black,None,126613LN,Unknown,Yes,Yes,Unknown,"New York, New York"
Sea-Dweller Deepsea,0001,Automatic,Steel,Steel,2021,New,Male,21297,151,Watches OFF 5TH,Unknown,Black,None,126660,Unknown,Yes,Yes,Unknown,"New York, New York"
Daytona,126500ln,Automatic,Steel,Steel,2024,New,Male,43944,151,Watches OFF 5TH,Unknown,Black,None,126500ln,Unknown,Yes,Yes,Unknown,"New York, New York"
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,Unknown,nan,Male,17494,151,Bedesten Osman Demireller,3235,Black,None,126660,Unknown,No,No,Unknown,Unknown
Daytona,116509,Automatic,White gold,White gold,2020,Used,Male,71547,498,The Watch Boutique Srl,4130,Mother of pearl,Arabic,116509,Very good,Yes,Yes,Italy,Milano
Datejust 41,126334-0026,Automatic,Steel,Steel,2022,Like new & unworn,Male,22363,199,The Kettle Kids Limited,3135,Blue,Roman,126334,Unknown,Yes,Yes,United Kingdom,London
Submariner,124060,Automatic,Steel,Steel,Unknown,nan,Unknown,18247,303,David and Sons Timepieces,Unknown,,,124060,Unknown,No,No,Unknown,"California, Del Mar"
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,Unknown,Used,Male,Unknown,151,Diamonds East International,3135,Grey,None,126331,Very good,Yes,Yes,Unknown,"Florida, Boca Raton"
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2021,Like new & unworn,Male,27615,138,WL Timepieces Ltd.,3135,Grey,None,126331,Unknown,Yes,Yes,Canada,Port Moody
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,27204,1331,Marks Uhren GmbH,3135,Black,None,126333,Unknown,No,No,Unknown,Unknown
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,26317,0,WPB Watch Co,3135,Grey,Roman,126331,Unknown,No,No,Unknown,Unknown
Daytona,126500ln,Automatic,Steel,Steel,2024,New,Male,43734,151,Watches OFF 5TH,Unknown,Black,None,126500ln,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 36,116233,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,13387,228,ElegantSwiss,Unknown,Blue,,116233,Unknown,No,No,Unknown,Unknown
Oysterdate Precision,6694,Manual winding,Steel,Steel,2024,nan,Unknown,3676,0,Cadran Patine,Unknown,Black,None,6694,Unknown,No,No,Unknown,Unknown
Daytona,16520,Automatic,Steel,Steel,1991,Used,Male,Unknown,499,Bonanno Gioielleria,Unknown,White,None,16520,Very good,No,No,Italy,Roma
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,2022,New,Male,24450,0,Wilkinsons Jewellery & Watches,3235,Blue,None,126660,Unknown,Yes,Yes,United Kingdom,Fareham
Oyster Perpetual Date,115234,Automatic,Steel,Steel,Unknown,nan,Male,8813,163,"REPESTA Co., Ltd.",Unknown,Black,None,115234,Unknown,No,No,Unknown,Unknown
Explorer II,16570,Automatic,Steel,Steel,Unknown,nan,Unknown,12146,200,TodoReloj,3185,White,None,16570,Unknown,No,No,Spain,Madrid
Daytona,126515LN,Automatic,Rose gold,Rubber,2024,New,Male,74625,333,BEST SPAIN WATCHES,Unknown,Unknown,,126515LN,Unknown,Yes,Yes,Spain,Palma De Mallorca
